15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
| Y4234987|       1000.000 |UN |Y2303575  |HALB|   |        40.475 |M  |0|1000 |      522.53 |     |
| Y4118827|       1000.000 |UN |Y3959113  |HALB|X  |        20.000 |M  |0|    1 |        1.86 |     |
| Y4118827|       1000.000 |UN |Y3959113  |HALB|   |        25.460 |M  |0|    1 |        1.86 |     |
| Y4118827|       1000.000 |UN |Y3959092  |HALB|X  |        20.000 |M  |0|    1 |        5.50 |     |
| Y4118827|       1000.000 |UN |Y3959092  |HALB|   |        25.460 |M  |0|    1 |        5.50 |     |
| Y2300266|       1000.000 |UN |Y2279294  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300266|       1000.000 |UN |Y2279279  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300266|       1000.000 |UN |Y2279298  |ZRAW|   |     1000.000 |UN |1|    1 |        3.93 |     |
| Y2300266|       1000.000 |UN |Y2279283  |ZRAW|   |     1000.000 |UN |1|    1 |       12.77 |     |
| Y2300266|       1000.000 |UN |Y2279281  |ZRAW|   |     1000.000 |UN |1|    1 |       12.77 |     |
| Y2300266|       1000.000 |UN |Y2279296  |ZRAW|   |     1000.000 |UN |1|    1 |       13.20 |     |
| Y2300266|       1000.000 |UN |Y2279295  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300254|       1000.000 |UN |Y2279294  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300254|       1000.000 |UN |Y2279279  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300254|       1000.000 |UN |Y2279298  |ZRAW|   |     1000.000 |UN |1|    1 |        3.93 |     |
| Y2300254|       1000.000 |UN |Y2279283  |ZRAW|   |     1000.000 |UN |1|    1 |       12.77 |     |
| Y2300254|       1000.000 |UN |Y2279281  |ZRAW|   |     1000.000 |UN |1|    1 |       12.77 |     |
| Y2300254|       1000.000 |UN |Y2279296  |ZRAW|   |     1000.000 |UN |1|    1 |       13.20 |     |
| Y2300254|       1000.000 |UN |Y2279295  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300242|       1000.000 |UN |Y2279294  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300242|       1000.000 |UN |Y2279279  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300242|       1000.000 |UN |Y2279298  |ZRAW|   |     1000.000 |UN |1|    1 |        3.93 |     |
| Y2300242|       1000.000 |UN |Y2279283  |ZRAW|   |     1000.000 |UN |1|    1 |       12.77 |     |
| Y2300242|       1000.000 |UN |Y2279281  |ZRAW|   |     1000.000 |UN |1|    1 |       12.77 |     |
| Y2300242|       1000.000 |UN |Y2279296  |ZRAW|   |     1000.000 |UN |1|    1 |       13.20 |     |
| Y2300242|       1000.000 |UN |Y2279295  |ZRAW|   |     1000.000 |UN |1|    1 |       13.78 |     |
| Y2300230|       1000.000 |UN |Y2279277  |ZRAW|   |     1000.000 |UN |1|    1 |       10.24 |     |
| Y2300230|       1000.000 |UN |Y2279278  |ZRAW|   |     1000.000 |UN |1|    1 |       10.24 |     |
| Y2300230|       1000.000 |UN |Y2279293  |ZRAW|   |     1000.000 |UN |1|    1 |       10.79 |     |
| Y2300230|       1000.000 |UN |Y2307481  |ZRAW|   |     1000.000 |UN |1|1000 |      100.00 |     |
| Y2300230|       1000.000 |UN |Y2279291  |ZRAW|   |     1000.000 |UN |1|    1 |       10.79 |     |
| Y2300230|       1000.000 |UN |Y2279280  |ZRAW|   |     1000.000 |UN |1|    1 |       10.24 |     |
| Y2300230|       1000.000 |UN |Y2279292  |ZRAW|   |     1000.000 |UN |1|    1 |       10.24 |     |
| Y2300229|       1000.000 |UN |Y2279277  |ZRAW|   |     1000.000 |UN |1|    1 |       10.24 |     |
| Y2300229|       1000.000 |UN |Y2279278  |ZRAW|   |     1000.000 |UN |1|    1 |       10.24 |     |
| Y2300229|       1000.000 |UN |Y2279293  |ZRAW|   |     1000.000 |UN |1|    1 |       10.79 |     |
| Y2300229|       1000.000 |UN |Y2307481  |ZRAW|   |     1000.000 |UN |1|1000 |      100.00 |     |
| Y2300229|       1000.000 |UN |Y2279291  |ZRAW|   |     1000.000 |UN |1|    1 |       10.79 |     |
